Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1,Precious Achiuwa,PF,24,NYK,9,2,184,6.0,12.2,.488,0.0,0.9,.000,6.0,11.4,.525,1.4,3.7,.385,6.2,4.5,10.8,1.4,1.1,3.4,1.1,5.7,13.3,,115,120
2,Bam Adebayo,C,26,MIA,5,5,192,13.2,26.7,.495,0.6,2.8,.200,12.7,24.0,.529,4.1,5.8,.714,3.0,9.9,12.9,5.2,0.6,0.0,2.2,4.1,31.1,,108,119
3,Nickeil Alexander-Walker,SG,25,MIN,16,1,378,5.7,15.5,.366,3.3,11.2,.296,2.4,4.3,.548,1.4,1.4,1.000,0.7,3.2,3.9,5.1,1.4,1.0,2.1,3.3,16.0,,105,115
4,Grayson Allen,SG,28,PHO,2,2,43,1.2,6.0,.200,1.2,6.0,.200,0.0,0.0,,4.8,4.8,1.000,2.4,7.2,9.5,2.4,1.2,0.0,3.6,4.8,8.4,,93,127
5,Jarrett Allen,C,25,CLE,4,4,127,10.2,15.1,.676,0.0,0.0,,10.2,15.1,.676,7.3,10.6,.692,6.1,16.3,22.4,2.0,2.0,1.6,2.0,3.3,27.7,,137,103
6,Jose Alvarado,PG,25,NOP,4,0,62,2.5,16.4,.150,0.8,11.5,.071,1.6,4.9,.333,0.0,0.0,,0.0,3.3,3.3,7.4,4.1,0.8,3.3,2.5,5.7,,51,109
7,Kyle Anderson,PF,30,MIN,15,1,231,5.9,12.9,.456,0.5,1.8,.250,5.4,11.1,.490,2.3,2.7,.833,4.1,5.0,9.0,8.6,2.3,1.1,2.3,5.9,14.5,,121,112
8,Thanasis Antetokounmpo,PF,31,MIL,2,0,5,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,10.3,10.3,0.0,10.3,0.0,,,90
9,Cole Anthony,PG,23,ORL,7,0,103,6.4,20.2,.317,1.0,6.4,.154,5.4,13.8,.393,3.9,4.4,.889,1.0,6.4,7.4,4.4,2.0,0.5,2.5,7.9,17.7,,88,102
10,OG Anunoby,SF,26,NYK,9,9,324,9.0,17.9,.505,2.6,6.3,.410,6.4,11.6,.556,1.3,2.1,.615,1.1,7.6,8.7,1.6,1.3,1.5,1.6,2.4,21.9,,116,120
11,Paolo Banchero,PF,21,ORL,7,7,262,13.2,28.9,.456,3.1,7.7,.400,10.1,21.1,.477,7.2,9.5,.755,2.7,8.9,11.6,5.4,1.5,0.8,6.2,2.7,36.6,,104,101
12,Nicolas Batum,PF,35,PHI,6,0,170,3.7,9.0,.414,2.8,6.8,.409,0.9,2.2,.429,1.6,2.5,.625,2.8,8.1,10.9,2.5,0.3,1.6,1.6,4.0,11.8,,119,118
13,Bradley Beal,SG,30,PHO,4,4,154,8.7,19.7,.441,3.3,7.7,.435,5.3,12.0,.444,1.3,1.7,.800,2.0,1.7,3.7,6.0,1.0,0.3,4.3,5.0,22.0,,100,132
14,Malik Beasley,SG,27,MIL,6,2,131,8.2,16.1,.512,4.3,9.8,.440,3.9,6.3,.625,0.0,0.0,,0.4,5.5,5.9,1.6,1.6,0.0,1.2,3.5,20.8,,121,120
15,MarJon Beauchamp,SF,23,MIL,4,0,10,5.1,20.6,.250,0.0,10.3,.000,5.1,10.3,.500,5.1,10.3,.500,0.0,5.1,5.1,10.3,0.0,0.0,5.1,5.1,15.4,,71,124
16,Patrick Beverley,PG,35,MIL,6,6,210,3.9,9.6,.410,1.0,2.7,.364,2.9,6.9,.429,3.2,3.7,.867,1.0,3.9,4.9,8.1,1.5,1.0,1.5,3.9,12.0,,123,120
17,Goga Bitadze,C,24,ORL,2,0,10,0.0,10.1,.000,0.0,0.0,,0.0,10.1,.000,0.0,0.0,,5.1,10.1,15.2,10.1,0.0,0.0,5.1,0.0,0.0,,52,105
18,Anthony Black,PG,20,ORL,2,0,11,13.8,32.3,.429,0.0,9.2,.000,13.8,23.1,.600,0.0,0.0,,4.6,4.6,9.2,9.2,4.6,0.0,4.6,4.6,27.7,,94,98
19,Bojan BogdanoviÄ,SF,34,NYK,4,0,51,7.2,24.6,.292,6.1,15.4,.400,1.0,9.2,.111,4.1,7.2,.571,1.0,11.3,12.3,4.1,0.0,1.0,1.0,3.1,24.6,,104,121
20,Bol Bol,PF,24,PHO,3,0,13,3.9,11.8,.333,0.0,0.0,,3.9,11.8,.333,0.0,0.0,,0.0,15.8,15.8,0.0,3.9,0.0,0.0,7.9,7.9,,69,113
21,Devin Booker,PG,27,PHO,4,4,166,9.9,20.1,.492,2.2,6.2,.350,7.7,13.9,.556,12.1,12.7,.951,0.3,3.7,4.0,7.4,2.2,0.3,3.4,5.6,34.0,,128,128
22,Brandon Boston Jr.,SF,22,LAC,3,0,10,10.6,21.1,.500,0.0,0.0,,10.6,21.1,.500,5.3,10.6,.500,5.3,5.3,10.6,5.3,0.0,0.0,0.0,10.6,26.4,,123,122
23,Christian Braun,SG,22,DEN,12,0,204,5.9,13.8,.426,1.0,4.6,.222,4.8,9.2,.528,2.8,4.1,.688,2.3,5.9,8.1,2.3,0.5,1.3,0.3,4.6,15.5,,114,115
24,Oshae Brissett,SF,25,BOS,10,0,55,5.7,10.4,.545,1.9,1.9,1.000,3.8,8.5,.444,1.9,3.8,.500,2.8,10.4,13.3,0.0,2.8,1.9,0.9,1.9,15.2,,124,103
25,Jaylen Brown,SF,27,BOS,19,19,707,12.9,25.0,.516,2.7,8.1,.327,10.3,16.9,.607,5.0,7.6,.660,1.6,6.7,8.3,4.6,1.7,0.9,3.8,3.8,33.5,,112,109
26,Kendall Brown,SG,20,IND,7,0,25,4.1,12.3,.333,0.0,0.0,,4.1,12.3,.333,0.0,0.0,,0.0,6.1,6.1,4.1,0.0,2.0,6.1,4.1,8.2,,56,121
27,Kobe Brown,PF,24,LAC,3,0,10,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,5.3,5.3,10.6,0.0,0.0,0.0,0.0,5.3,0.0,,228,122
28,Jalen Brunson,PG,27,NYK,13,13,518,15.2,34.3,.444,2.6,8.5,.310,12.6,25.8,.488,9.4,12.1,.775,0.8,3.5,4.3,9.8,1.0,0.2,3.5,2.6,42.5,,117,125
29,Thomas Bryant,C,26,MIA,2,0,18,14.7,20.6,.714,0.0,5.9,.000,14.7,14.7,1.000,5.9,8.8,.667,5.9,8.8,14.7,2.9,0.0,0.0,5.9,2.9,35.3,,117,121
30,Alec Burks,SG,32,NYK,6,0,121,10.8,21.6,.500,5.2,12.1,.429,5.6,9.5,.591,11.7,13.8,.844,1.7,6.9,8.6,2.6,0.4,0.4,0.0,2.6,38.4,,154,124
31,Kentavious Caldwell-Pope,SG,30,DEN,12,12,420,4.2,10.6,.395,2.2,6.8,.327,2.0,3.8,.516,1.4,1.4,1.000,0.6,3.7,4.3,3.8,2.1,0.6,1.2,4.6,12.0,,110,113
32,Wendell Carter Jr.,C,24,ORL,7,5,185,5.2,12.9,.404,1.9,6.9,.280,3.3,6.0,.545,2.2,3.0,.727,2.5,9.6,12.1,2.5,1.4,1.1,1.4,5.5,14.5,,110,101
33,Amir Coffey,SF,26,LAC,6,3,112,3.3,10.4,.318,1.4,5.2,.273,1.9,5.2,.364,0.0,0.0,,0.9,3.8,4.7,0.9,0.9,0.5,2.4,2.8,8.0,,73,121
34,Mike Conley,PG,36,MIN,15,15,474,6.8,16.0,.428,3.3,8.4,.395,3.5,7.6,.464,2.2,3.1,.714,1.1,5.3,6.4,9.5,2.3,0.3,2.2,4.2,19.2,,121,113
35,Pat Connaughton,SF,31,MIL,6,0,124,4.6,10.4,.440,1.2,4.6,.273,3.3,5.8,.571,0.8,0.8,1.000,1.2,8.3,9.5,5.4,2.5,0.4,1.2,2.5,11.2,,116,116
36,Jae Crowder,PF,33,MIL,4,0,42,3.7,14.7,.250,1.2,8.6,.143,2.4,6.1,.400,2.4,2.4,1.000,2.4,4.9,7.3,2.4,0.0,2.4,0.0,4.9,11.0,,93,121
37,Dyson Daniels,PG,20,NOP,3,0,17,6.0,18.0,.333,0.0,6.0,.000,6.0,12.0,.500,0.0,0.0,,0.0,6.0,6.0,0.0,6.0,0.0,3.0,0.0,12.0,,59,104
38,Anthony Davis,C,30,LAL,5,5,208,14.3,22.5,.634,0.0,1.2,.000,14.3,21.3,.670,5.1,6.3,.808,3.6,15.3,18.9,4.8,0.5,1.9,2.7,4.6,33.7,,129,109
39,Mamadi Diakite,PF,27,NYK,4,0,15,0.0,10.4,.000,0.0,7.0,.000,0.0,3.5,.000,7.0,7.0,1.000,0.0,10.4,10.4,3.5,3.5,3.5,3.5,10.4,7.0,,60,111
40,Ousmane Dieng,PF,20,OKC,4,0,7,7.3,14.5,.500,0.0,7.3,.000,7.3,7.3,1.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,,100,116
41,Spencer Dinwiddie,PG,30,LAL,5,0,73,3.5,9.7,.357,1.4,5.5,.250,2.1,4.1,.500,2.1,4.1,.500,0.7,4.1,4.8,5.5,1.4,0.7,0.7,4.8,10.4,,106,116
42,Donte DiVincenzo,SG,27,NYK,13,13,466,9.0,21.4,.419,5.0,11.9,.425,3.9,9.5,.412,2.9,3.4,.867,1.5,4.4,5.8,3.8,1.8,1.3,1.8,3.3,25.9,,120,121
43,Luka DonÄiÄ,PG,24,DAL,22,22,900,13.0,29.1,.446,3.9,12.2,.322,9.1,16.9,.536,6.8,8.8,.765,0.9,11.1,12.0,10.3,2.4,0.5,5.2,3.2,36.7,,112,108
44,Luguentz Dort,SF,24,OKC,10,10,350,4.8,13.2,.363,3.6,9.3,.391,1.2,3.9,.296,2.3,2.8,.842,2.8,3.9,6.7,2.9,1.9,0.3,1.6,6.1,15.6,,112,108
45,Kevin Durant,PF,35,PHO,4,4,168,11.3,20.5,.552,1.5,3.7,.417,9.8,16.8,.582,8.6,10.4,.824,0.3,7.6,7.9,4.0,0.6,1.8,3.1,2.4,32.7,,122,126
46,Anthony Edwards,SG,22,MIN,16,16,649,12.6,26.1,.481,3.7,9.3,.400,8.9,16.8,.526,6.7,8.2,.814,1.4,7.6,9.0,8.4,1.9,0.7,4.2,3.0,35.5,,118,112
47,Joel Embiid,C,29,PHI,6,6,248,12.6,28.3,.444,2.8,8.3,.333,9.8,20.0,.489,14.3,16.6,.859,4.0,9.8,13.8,7.2,1.5,1.9,5.3,4.3,42.1,,119,114
48,Drew Eubanks,C,26,PHO,3,0,37,9.7,16.6,.583,0.0,0.0,,9.7,16.6,.583,4.2,4.2,1.000,0.0,5.5,5.5,0.0,2.8,1.4,2.8,8.3,23.6,,107,124
49,Dante Exum,PG,28,DAL,21,0,144,5.8,15.9,.364,2.5,7.2,.350,3.2,8.7,.375,1.4,2.2,.667,1.1,5.1,6.1,4.3,1.1,0.4,1.8,3.2,15.5,,101,115
50,Markelle Fultz,PG,25,ORL,7,0,106,9.6,16.3,.588,0.0,0.5,.000,9.6,15.8,.606,2.4,4.3,.556,3.4,3.4,6.7,3.8,1.4,0.0,3.8,5.7,21.5,,108,106
51,Daniel Gafford,PF,25,DAL,22,22,445,9.1,14.4,.634,0.0,0.0,,9.1,14.4,.634,4.8,7.6,.631,4.9,9.3,14.2,1.8,0.7,3.9,2.2,4.4,23.0,,128,109
52,Danilo Gallinari,SF,35,MIL,3,0,37,5.6,11.1,.500,0.0,2.8,.000,5.6,8.3,.667,4.2,5.6,.750,1.4,11.1,12.5,2.8,0.0,0.0,1.4,0.0,15.3,,116,120
53,Darius Garland,PG,24,CLE,12,12,432,8.7,20.5,.427,3.0,8.5,.352,5.8,12.0,.480,2.0,2.5,.810,0.1,5.0,5.2,8.3,1.6,0.2,3.2,4.0,22.5,,103,114
54,Luka Garza,C,25,MIN,7,0,26,20.1,24.1,.833,4.0,6.0,.667,16.1,18.1,.889,14.1,16.1,.875,4.0,8.0,12.1,2.0,0.0,0.0,0.0,0.0,58.3,,190,117
55,Paul George,PF,33,LAC,6,6,222,9.3,22.6,.411,4.3,11.6,.367,5.0,10.9,.457,5.0,5.9,.840,0.7,9.0,9.7,6.9,1.7,0.7,3.3,5.2,27.8,,112,115
56,Josh Giddey,SG,21,OKC,10,8,181,9.6,21.1,.453,3.4,9.6,.353,6.2,11.5,.537,2.0,2.2,.875,2.0,8.2,10.1,5.9,0.6,1.1,3.4,2.5,24.5,,107,107
57,Shai Gilgeous-Alexander,PG,25,OKC,10,10,399,14.2,28.6,.496,2.0,4.7,.432,12.1,23.8,.508,8.2,10.3,.790,1.0,8.2,9.2,8.2,1.7,2.2,2.8,4.0,38.5,,119,104
58,Rudy Gobert,C,31,MIN,15,15,512,6.5,10.6,.615,0.0,0.0,,6.5,10.6,.615,5.4,8.1,.671,4.1,10.9,15.0,2.4,1.4,1.5,2.3,5.6,18.5,,127,110
59,Aaron Gordon,PF,28,DEN,12,12,445,8.1,13.8,.585,1.3,3.2,.407,6.8,10.6,.637,2.7,3.3,.821,4.2,6.0,10.2,6.2,1.2,0.8,2.1,3.3,20.1,,133,114
60,Eric Gordon,SG,35,PHO,4,0,118,3.9,12.2,.321,3.0,7.4,.412,0.9,4.8,.182,3.0,3.5,.875,0.4,2.6,3.0,2.2,2.2,0.9,1.7,2.2,13.9,,98,128
61,A.J. Green,SG,24,MIL,6,0,67,4.6,12.3,.375,1.5,8.4,.182,3.1,3.8,.800,2.3,2.3,1.000,0.0,6.9,6.9,1.5,0.0,0.0,0.8,6.9,13.0,,101,122
62,Josh Green,SG,23,DAL,22,0,399,4.7,11.1,.424,3.0,7.7,.390,1.7,3.4,.500,1.8,2.5,.737,2.7,4.6,7.3,3.0,2.2,0.4,0.9,3.8,14.2,,128,113
63,Rui Hachimura,PF,25,LAL,5,5,152,5.0,12.6,.395,1.7,4.6,.357,3.3,8.0,.417,1.3,2.7,.500,2.0,4.3,6.3,1.3,0.0,0.0,0.7,2.7,12.9,,100,120
64,Tyrese Haliburton,PG,23,IND,15,15,522,10.3,21.1,.488,5.2,13.7,.379,5.1,7.4,.693,1.7,2.0,.850,1.2,5.9,7.1,12.1,1.9,1.0,3.0,1.4,27.5,,127,118
65,Tim Hardaway Jr.,SF,31,DAL,14,0,178,6.4,16.9,.379,3.8,10.8,.351,2.6,6.1,.429,1.2,2.3,.500,0.6,6.7,7.3,1.5,1.5,0.3,0.6,2.9,17.8,,106,113
66,James Harden,PG,34,LAC,6,6,242,8.7,19.4,.449,3.9,10.3,.383,4.8,9.2,.524,6.3,7.0,.906,0.7,5.2,5.9,10.5,1.3,1.3,3.1,2.8,27.7,,128,118
67,Jaden Hardy,SG,21,DAL,19,0,129,11.7,27.4,.426,4.4,10.9,.407,7.3,16.5,.439,4.4,6.0,.733,0.8,5.2,6.0,6.8,1.2,0.0,2.8,5.2,32.2,,112,115
68,Gary Harris,SG,29,ORL,6,6,159,2.6,8.9,.286,2.2,7.0,.318,0.3,1.9,.167,0.6,0.6,1.000,1.6,2.2,3.8,1.3,2.2,1.0,0.6,5.7,8.0,,100,103
69,Tobias Harris,PF,31,PHI,6,6,218,5.3,12.3,.431,1.5,4.4,.333,3.9,8.0,.485,1.0,1.0,1.000,2.2,8.2,10.4,2.2,0.2,0.7,0.7,2.7,13.1,,114,119
70,Josh Hart,SF,28,NYK,13,13,548,6.3,14.3,.440,2.1,5.6,.373,4.2,8.7,.484,3.3,4.6,.729,3.5,10.8,14.3,5.6,1.2,1.0,3.2,3.9,18.0,,114,119
71,Isaiah Hartenstein,C,25,NYK,13,13,388,6.1,10.2,.592,0.1,0.3,.500,5.9,10.0,.595,2.6,3.0,.864,6.6,7.1,13.7,6.2,0.5,1.6,2.6,5.5,14.8,,135,122
72,Sam Hauser,SF,26,BOS,19,0,283,6.6,15.5,.429,5.0,13.1,.380,1.7,2.4,.692,0.7,0.7,1.000,1.5,6.1,7.6,2.0,0.9,0.6,0.6,3.7,19.0,,125,112
73,Jordan Hawkins,SG,21,NOP,3,0,12,0.0,17.0,.000,0.0,12.7,.000,0.0,4.2,.000,0.0,0.0,,0.0,8.5,8.5,0.0,0.0,0.0,0.0,4.2,0.0,,0,117
74,Jaxson Hayes,C,23,LAL,4,0,24,0.0,4.2,.000,0.0,0.0,,0.0,4.2,.000,2.1,4.2,.500,6.3,18.9,25.2,2.1,0.0,0.0,4.2,14.7,2.1,,69,110
75,Gordon Hayward,SF,33,OKC,7,0,46,0.0,3.3,.000,0.0,0.0,,0.0,3.3,.000,0.0,0.0,,1.1,13.3,14.4,3.3,1.1,1.1,0.0,2.2,0.0,,73,102
76,Tyler Herro,SG,24,MIA,5,5,185,8.6,22.3,.385,4.3,12.3,.349,4.3,10.0,.429,2.6,2.9,.900,0.0,5.1,5.1,7.7,0.6,0.0,4.0,2.9,24.0,,95,121
77,Buddy Hield,SG,31,PHI,4,0,51,7.2,17.6,.412,6.2,13.5,.462,1.0,4.1,.250,2.1,2.1,1.000,2.1,3.1,5.2,2.1,0.0,1.0,2.1,4.1,22.8,,118,123
78,Haywood Highsmith,PF,27,MIA,5,0,126,4.2,11.8,.357,1.3,6.7,.188,2.9,5.0,.583,0.4,0.4,1.000,0.8,5.0,5.9,3.4,0.4,0.4,1.7,5.9,10.1,,85,121
79,Jrue Holiday,PG,33,BOS,19,19,720,7.0,14.0,.503,2.5,6.3,.402,4.5,7.7,.585,1.5,1.6,.955,2.7,5.7,8.4,6.0,1.5,0.9,2.1,2.9,18.1,,127,110
80,Justin Holiday,SG,34,DEN,12,0,150,3.8,12.1,.314,3.8,10.0,.379,0.0,2.1,.000,0.7,1.4,.500,0.3,6.6,6.9,1.4,2.1,0.0,1.0,5.5,12.1,,94,113
81,Chet Holmgren,C,21,OKC,10,10,345,8.7,17.6,.496,1.9,7.4,.260,6.8,10.2,.667,3.7,4.9,.758,2.1,8.6,10.6,3.1,1.0,3.7,2.8,3.8,23.0,,111,103
82,Al Horford,C,37,BOS,19,15,575,6.0,12.5,.478,3.2,8.6,.368,2.8,3.9,.721,0.6,1.0,.636,3.2,8.9,12.1,3.6,1.4,1.5,1.1,2.5,15.8,,130,108
83,Caleb Houstan,SF,21,ORL,3,0,14,3.6,7.2,.500,3.6,7.2,.500,0.0,0.0,,0.0,0.0,,3.6,3.6,7.2,0.0,0.0,0.0,0.0,0.0,10.9,,162,109
84,Jett Howard,SF,20,ORL,2,0,10,10.1,15.2,.667,5.1,5.1,1.000,5.1,10.1,.500,0.0,0.0,,0.0,5.1,5.1,5.1,0.0,0.0,10.1,5.1,25.4,,93,108
85,Bones Hyland,PG,23,LAC,3,0,12,13.2,30.8,.429,4.4,22.0,.200,8.8,8.8,1.000,17.6,17.6,1.000,0.0,8.8,8.8,17.6,0.0,0.0,4.4,0.0,48.4,,135,120
86,Joe Ingles,SF,36,ORL,7,0,68,3.0,9.0,.333,1.5,5.2,.286,1.5,3.7,.400,0.7,1.5,.500,1.5,8.2,9.7,9.0,2.2,0.0,0.0,2.2,8.2,,128,101
87,Brandon Ingram,SF,26,NOP,4,4,145,6.7,19.3,.345,0.7,2.8,.250,6.0,16.5,.362,6.0,6.7,.895,0.4,6.0,6.3,4.6,1.4,1.8,3.2,2.8,20.0,,92,112
88,Kyrie Irving,SG,31,DAL,22,22,879,11.0,23.5,.467,3.1,8.0,.390,7.9,15.5,.508,3.7,4.3,.849,1.3,3.5,4.8,6.7,1.4,0.4,3.0,3.7,28.8,,116,115
89,Jonathan Isaac,PF,26,ORL,7,3,147,5.5,13.5,.410,3.5,9.3,.370,2.1,4.1,.500,0.7,0.7,1.000,3.5,8.3,11.7,1.0,1.7,3.1,1.4,2.4,15.2,,114,98
90,Andre Jackson Jr.,SG,22,MIL,5,0,60,4.3,9.4,.455,1.7,5.1,.333,2.6,4.3,.600,0.0,0.0,,4.3,5.1,9.4,8.6,4.3,0.9,2.6,8.6,10.3,,122,112
91,Isaiah Jackson,C,22,IND,15,0,154,7.7,14.3,.535,0.0,0.0,,7.7,14.3,.535,3.7,6.0,.611,7.0,9.0,16.0,2.3,1.0,4.3,1.3,8.0,19.0,,126,114
92,Reggie Jackson,PG,33,DEN,12,0,117,7.1,21.3,.333,3.6,10.2,.348,3.6,11.1,.320,0.9,0.9,1.000,0.9,5.8,6.7,5.3,0.9,0.4,3.6,5.3,18.6,,85,115
93,LeBron James,PF,39,LAL,5,5,204,13.8,24.4,.566,2.5,6.4,.385,11.4,18.0,.630,4.2,5.7,.739,1.0,7.4,8.4,10.9,3.0,1.2,4.7,2.7,34.3,,118,110
94,Jaime Jaquez Jr.,SF,22,MIA,4,4,123,9.0,22.4,.404,1.3,5.6,.231,7.7,16.8,.462,2.6,3.0,.857,0.9,4.7,5.6,5.2,1.3,0.9,3.0,2.6,21.9,,90,119
95,DaQuan Jeffries,SG,26,NYK,4,0,20,7.8,20.9,.375,5.2,13.1,.400,2.6,7.8,.333,0.0,0.0,,2.6,7.8,10.4,0.0,2.6,0.0,0.0,5.2,20.9,,114,118
96,Isaiah Joe,SG,24,OKC,10,2,173,7.1,15.9,.444,4.7,11.5,.410,2.4,4.4,.533,0.0,0.0,,1.2,5.3,6.5,2.9,1.5,0.0,1.5,2.9,18.8,,114,109
97,James Johnson,PF,36,IND,1,0,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,51.2,102.5,.500,0.0,0.0,0.0,0.0,0.0,0.0,51.2,0.0,51.2,,53,128
98,Nikola JokiÄ,C,28,DEN,12,12,482,14.3,26.3,.545,1.5,5.7,.264,12.8,20.6,.623,6.9,7.7,.901,4.6,12.7,17.4,11.2,1.8,0.9,4.3,3.4,37.1,,126,109
99,Damian Jones,C,28,CLE,2,0,9,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,5.8,5.8,11.5,11.5,0.0,5.8,11.5,0.0,0.0,,65,111
100,Derrick Jones Jr.,SF,26,DAL,22,22,647,6.2,12.9,.481,1.9,5.2,.369,4.3,7.6,.558,1.8,2.4,.733,2.7,3.5,6.1,2.2,0.9,1.7,1.4,4.3,16.1,,119,115
101,Herbert Jones,SF,25,NOP,4,4,141,5.8,14.8,.390,2.9,8.7,.333,2.9,6.1,.471,4.3,4.3,1.000,2.2,5.1,7.2,3.6,1.8,0.4,4.0,5.4,18.8,,102,114
102,DeAndre Jordan,C,35,DEN,2,0,13,4.0,8.0,.500,0.0,0.0,,4.0,8.0,.500,8.0,8.0,1.000,4.0,8.0,12.0,0.0,4.0,4.0,0.0,16.0,16.0,,159,102
103,Nikola JoviÄ,PF,20,MIA,5,5,128,6.6,14.9,.444,3.7,9.1,.409,2.9,5.8,.500,2.5,2.9,.857,0.8,12.8,13.6,4.5,2.1,1.2,2.5,3.7,19.4,,109,112
104,Maxi Kleber,C,32,DAL,13,0,219,3.8,9.3,.410,2.8,6.6,.429,0.9,2.6,.364,0.9,1.4,.667,0.9,5.0,5.9,3.1,0.7,0.9,1.2,4.7,11.4,,119,115
105,Luke Kornet,C,28,BOS,13,0,133,5.5,8.2,.667,0.0,0.0,,5.5,8.2,.667,4.3,5.1,.846,7.5,8.6,16.1,2.7,0.4,2.0,2.4,4.3,15.3,,144,109
106,A.J. Lawson,SG,23,DAL,10,0,30,6.9,15.6,.444,3.5,10.4,.333,3.5,5.2,.667,1.7,3.5,.500,1.7,3.5,5.2,0.0,0.0,1.7,0.0,1.7,19.1,,120,117
