Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,Unnamed: 13_level_0,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 20_level_0,% of FG Ast'd,% of FG Ast'd,Unnamed: 23_level_0,Dunks,Dunks,Unnamed: 26_level_0,Layups,Layups,Unnamed: 29_level_0,Corner,Corner,Unnamed: 32_level_0,1/2 Court,1/2 Court
Rk,Team,G,MP,FG%,Dist.,Unnamed: 6_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 13_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 20_level_1,2P,3P,Unnamed: 23_level_1,%FGA,Md.,Unnamed: 26_level_1,%FGA,Md.,Unnamed: 29_level_1,%3PA,3P%,Unnamed: 32_level_1,Att.,Md.
1.0,Atlanta Hawks,47,11330,0.475,14.3,,0.57,0.235,0.21,0.082,0.042,0.43,,0.553,0.701,0.446,0.486,0.397,0.37,,0.605,0.938,,0.062,240,,0.239,584,,0.258,0.394,,0.0,0.0
2.0,Boston Celtics,44,10610,0.471,16.5,,0.533,0.156,0.188,0.114,0.074,0.467,,0.56,0.751,0.503,0.483,0.418,0.37,,0.432,0.768,,0.043,146,,0.224,549,,0.149,0.414,,0.0,0.0
3.0,Brooklyn Nets,43,10395,0.444,15.2,,0.522,0.222,0.191,0.064,0.044,0.478,,0.534,0.704,0.415,0.441,0.331,0.347,,0.541,0.88,,0.064,205,,0.25,500,,0.217,0.332,,0.0,0.0
4.0,Chicago Bulls,44,10610,0.476,13.5,,0.566,0.313,0.189,0.042,0.021,0.434,,0.56,0.667,0.425,0.485,0.329,0.366,,0.572,0.929,,0.036,122,,0.324,766,,0.26,0.396,,1.0,1.0
5.0,Charlotte Hornets,45,10875,0.46,14.9,,0.539,0.23,0.217,0.067,0.025,0.461,,0.539,0.714,0.414,0.429,0.314,0.368,,0.516,0.868,,0.064,231,,0.249,542,,0.236,0.429,,2.0,1.0
6.0,Cleveland Cavaliers,46,11090,0.469,14.7,,0.548,0.251,0.175,0.082,0.04,0.452,,0.563,0.7,0.447,0.466,0.415,0.354,,0.575,0.812,,0.079,293,,0.222,527,,0.221,0.366,,1.0,0.0
7.0,Dallas Mavericks,45,10925,0.474,13.5,,0.635,0.231,0.231,0.103,0.069,0.365,,0.548,0.721,0.464,0.455,0.388,0.344,,0.501,0.885,,0.064,222,,0.268,603,,0.309,0.352,,1.0,0.0
8.0,Denver Nuggets,46,11140,0.496,14.4,,0.596,0.217,0.217,0.095,0.068,0.404,,0.564,0.717,0.487,0.472,0.454,0.395,,0.572,0.82,,0.047,164,,0.273,640,,0.223,0.407,,2.0,2.0
9.0,Detroit Pistons,43,10370,0.478,12.7,,0.643,0.231,0.298,0.08,0.033,0.357,,0.549,0.682,0.495,0.419,0.43,0.35,,0.535,0.863,,0.088,309,,0.303,620,,0.276,0.367,,1.0,1.0
10.0,Golden State Warriors,46,11090,0.463,15.9,,0.5,0.194,0.193,0.072,0.041,0.5,,0.56,0.728,0.489,0.395,0.386,0.367,,0.585,0.87,,0.038,139,,0.267,657,,0.259,0.398,,1.0,1.0
11.0,Houston Rockets,43,10495,0.479,13.6,,0.66,0.214,0.225,0.151,0.07,0.34,,0.534,0.686,0.481,0.442,0.442,0.372,,0.472,0.86,,0.078,273,,0.247,512,,0.296,0.403,,2.0,1.0
12.0,Indiana Pacers,46,11090,0.442,14.8,,0.59,0.196,0.213,0.113,0.069,0.41,,0.512,0.654,0.466,0.446,0.361,0.342,,0.523,0.893,,0.037,128,,0.266,601,,0.223,0.33,,0.0,0.0
13.0,Los Angeles Clippers,44,10635,0.474,14.8,,0.568,0.19,0.232,0.105,0.04,0.432,,0.558,0.735,0.48,0.478,0.377,0.364,,0.51,0.774,,0.061,200,,0.215,455,,0.256,0.412,,0.0,0.0
14.0,Los Angeles Lakers,43,10320,0.495,14.7,,0.594,0.202,0.211,0.13,0.05,0.406,,0.596,0.778,0.532,0.483,0.425,0.348,,0.545,0.735,,0.072,238,,0.218,492,,0.238,0.358,,1.0,0.0
15.0,Memphis Grizzlies,43,10370,0.456,14.5,,0.58,0.201,0.227,0.107,0.045,0.42,,0.533,0.651,0.506,0.448,0.343,0.35,,0.601,0.905,,0.043,143,,0.227,507,,0.24,0.387,,0.0,0.0
16.0,Miami Heat,45,10825,0.465,13.4,,0.611,0.238,0.256,0.083,0.034,0.389,,0.529,0.657,0.448,0.46,0.401,0.365,,0.54,0.922,,0.048,180,,0.286,672,,0.264,0.372,,2.0,1.0
17.0,Milwaukee Bucks,44,10610,0.481,15.0,,0.561,0.232,0.166,0.094,0.07,0.439,,0.551,0.745,0.43,0.403,0.395,0.392,,0.503,0.885,,0.061,211,,0.245,539,,0.273,0.45,,0.0,0.0
18.0,Minnesota Timberwolves,45,10875,0.484,14.2,,0.574,0.245,0.195,0.088,0.046,0.426,,0.567,0.726,0.453,0.472,0.378,0.372,,0.52,0.832,,0.072,261,,0.258,624,,0.261,0.388,,2.0,0.0
19.0,New Orleans Pelicans,47,11380,0.464,12.3,,0.652,0.326,0.216,0.069,0.041,0.348,,0.53,0.672,0.389,0.408,0.354,0.341,,0.505,0.826,,0.078,290,,0.355,814,,0.22,0.373,,0.0,0.0
20.0,New York Knicks,44,10560,0.47,14.6,,0.564,0.24,0.174,0.104,0.046,0.436,,0.541,0.669,0.466,0.445,0.374,0.377,,0.498,0.86,,0.052,187,,0.238,541,,0.296,0.432,,0.0,0.0
21.0,Oklahoma City Thunder,46,11165,0.493,14.3,,0.589,0.226,0.194,0.122,0.047,0.411,,0.584,0.748,0.465,0.53,0.432,0.361,,0.467,0.841,,0.069,254,,0.25,620,,0.24,0.355,,0.0,0.0
22.0,Orlando Magic,43,10395,0.465,13.1,,0.633,0.251,0.247,0.089,0.045,0.367,,0.538,0.71,0.437,0.415,0.372,0.34,,0.548,0.879,,0.069,225,,0.314,667,,0.255,0.416,,1.0,1.0
23.0,Philadelphia 76ers,43,10520,0.456,14.1,,0.597,0.282,0.163,0.086,0.065,0.403,,0.525,0.642,0.429,0.393,0.439,0.355,,0.495,0.821,,0.053,173,,0.296,637,,0.213,0.367,,1.0,1.0
24.0,Phoenix Suns,45,10825,0.461,15.6,,0.557,0.193,0.175,0.132,0.057,0.443,,0.538,0.699,0.466,0.44,0.437,0.365,,0.491,0.823,,0.06,218,,0.22,489,,0.212,0.388,,1.0,0.0
25.0,Portland Trail Blazers,46,11090,0.45,14.7,,0.538,0.247,0.193,0.056,0.042,0.462,,0.546,0.702,0.428,0.372,0.4,0.338,,0.484,0.818,,0.072,259,,0.292,673,,0.222,0.326,,0.0,0.0
26.0,Sacramento Kings,46,11115,0.467,14.1,,0.658,0.161,0.264,0.143,0.091,0.342,,0.527,0.722,0.5,0.44,0.398,0.352,,0.53,0.848,,0.051,183,,0.259,598,,0.249,0.388,,0.0,0.0
27.0,San Antonio Spurs,45,10825,0.473,14.0,,0.578,0.266,0.177,0.091,0.044,0.422,,0.562,0.692,0.459,0.418,0.491,0.35,,0.492,0.889,,0.067,244,,0.261,587,,0.307,0.373,,0.0,0.0
28.0,Toronto Raptors,47,11380,0.473,13.7,,0.624,0.26,0.185,0.123,0.056,0.376,,0.552,0.701,0.441,0.452,0.445,0.343,,0.604,0.939,,0.062,225,,0.261,662,,0.243,0.37,,1.0,0.0
29.0,Utah Jazz,45,10950,0.467,14.3,,0.582,0.175,0.281,0.076,0.05,0.418,,0.551,0.69,0.516,0.44,0.431,0.351,,0.632,0.888,,0.062,220,,0.273,640,,0.275,0.394,,0.0,0.0
30.0,Washington Wizards,43,10370,0.459,14.4,,0.603,0.21,0.229,0.106,0.058,0.397,,0.529,0.72,0.405,0.494,0.393,0.354,,0.515,0.816,,0.066,225,,0.257,533,,0.193,0.365,,0.0,0.0
,League Average,45,10809,0.469,14.3,,0.585,0.228,0.211,0.096,0.051,0.415,,0.547,0.7,0.461,0.45,0.403,0.359,,0.531,0.856,,0.06,214,,0.262,595,,0.245,0.384,,0.7,0.3
